incidnet_id ,status,service,title,improvement_possible,recognition_type,incident_grade,propagation_grade,occurred_at,ended_at,root_cause_L1,root_cause_L2,action_summary,cause_type_L1,cause_type_L2,cause_type_L3
INM24020728967,종료,KOS-CRM(B2C),AB캠페인 서버(p-abcam-pk1-kfkcli02)에서 Memory 사용율 과점유 발생,,,,이상징후,2007-02-24 12:53:00,2007-02-24 13:05:00,인적원인,업무 이해도 부족,"- 02/07 12:53 : 메모리 과점유 발생
- 02/07 12:59 : 고객인프라팀으로부터 상황 전달 받음
- 02/07 13:03 : 메모리 과점유 원인 분석
- 02/07 13:05 : 메모리 과점유 원인 프로세스 kill",AP 운영,운용,운용 오류
INM24020728970,종료,KT멤버십 앱,케이티 멤버십 앱 블루보틀 1월 이벤트 예비 당첨자 포인트 장애,개선불가,VOC접수,,요금사고,2001-02-24 11:15:00,2001-02-24 17:04:00,인적원인,업무 완결성 부족,"o 장애 조치 경과	
일시	작업 내용 / 현상
2/2일 16:06	협력사(이데아) 고객 문의 VOC 접수
	※ 예비 당첨자 포인트 1만점 차감 취소에 대한 민원
16:13	kt 담당자 해당 VOC kt ds에 확인 요청
16:39	개발 협력사(뮤직엔닷컴) 확인 후 kt ds voc 확인 내용 통보
	※ kt ds 협력사 확인 결과 kt 멤버십 포인트 차감 오류로 인한 2/1 예비 당첨자 100명 포인트 복구 처리(개발 협력사 사전 보고 누락 확인)
16:59	해당 사실 kt 멤버십 마케팅팀에 통보
17:46	kt 멤버십 마케팅팀(김인태 팀장) 단순 오류가 아닌 장애 수준으로 인지해야 한다는 메일 접수
18:30	예비 당첨자의 경우 해당 경품 지급은 하지 않고 강성 고객에 한해 검토 후 경품 지급 예정(kt 멤버십 마케팅팀 결정 사항)
18:40	상황 종료",AP 운영,운용,운용 오류
INM24020728971,종료,블록체인기반지역화폐,외부사 BC머니플랫폼 타임아웃 오류 발생,,,,이상징후,2007-02-24 16:33:00,2007-02-24 16:33:00,환경원인,외부귀책,"4:25 램프 에러 발생 충전 30건
4:33 머니플랫폼(토스뱅크) 충전/충전취소 일시적 오류 발생(타임아웃)
외부사(토스뱅크) 조치 완료
4:33~35 추가 모니터링
4:35 인프라/AP 점검
4:36 BC머니플랫폼 확인
4:39 BC머니플랫폼/내부 확인결과(토스뱅크)
4:43 하나카드쪽에서 BC머니플랫폼쪽에 조치취했다고 안내",AP 운영,운용,환경
INM24020828973,종료,통합광고플랫폼,통합광고플랫폼 서버(TAP-DB1-NEW)에서 ICMP Ping 체크 불가 이벤트 발생,,,,이상징후,2008-02-24 06:44:00,2008-02-24 06:44:00,Infra원인,Infra S/W결함,"O [02/08 06:44] 통합광고플랫폼 서비스 DB서버(TAP-DB1-NEW)에서 ICMP Ping 체크 불가 이벤트 발생  조치 내역 :
 - 06:44  통합광고플랫폼 서버(TAP-DB1-NEW)에서 ICMP Ping 체크 불가 이벤트 발생
 - 06:47  ICMP Ping 체크 불가 이벤트 해소 확인
 - 06:50  컨퍼런스콜 개설
 - 06:51  이상징후 발생 공지 완료
 - 06:54  서비스 점검 결과 특이사항 없음 확인
 - 06:55  OS 서버 재기동 확인 (SDSCSA)
 - 06:55  해당 DB 이중화(Active-Standby) 구성 확인
 - 07:00  DB 서버 절체 정상인지 확인중
 - 07:05  DB1 -> DB2 번으로 정상 절체 확인
 - 07:10 이상징후 해소 공지",Infra,미들웨어,DB서버
INM24020828974,종료,AI고객센터,통합검색플랫폼 서비스 호출 시 지연 발생으로 램프 알람 발생,,,,이상징후,2008-02-24 08:54:00,2008-02-24 08:54:00,인적원인,연관도 파악 미흡,"2/7 22:10 Shop 에서 메타데이터 생성시 PAYMENTTYPE 값을 제거
2/8 08:48 Shop 팀에서 작업 완료 메일을 확인하고 PAYMENTTYPE 값을 엔진에서 제거
2/8 08:52 검색 호출 에러 로그 확인 후 원복",AP 운영,운용,운용 오류
INM24020828975,종료,대리점경영지원,시그널관제에서 인스턴스(eims11) TPS 응답시간 지연 발생,,,,이상징후,2008-02-24 11:37:00,2008-02-24 11:48:00,환경원인,사용량 과부하,"24/02/08 11:37:00 시그널관제에서 인스턴스(eims11) TPS 응답시간 지연 발생
24/02/08 11:37:00 확인 되자마자 해당 작업 중단
24/02/08 11:48:00 특이사항 없이 해소됨",AP 운영,점검,환경
INM24020828976,종료,아이엠/쇼미,BD-SHOWMECP01 서버에서 SCP Connection offline error 이벤트 발생,,,,이상징후,2008-02-24 17:02:00,2008-02-24 17:25:00,환경원인,자연해소,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
O 조치 후 서비스 정상화 등 결과 포함
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수
16:56 SCP connection offline 에러 최초발생
17:00 SCP connection offline 알람발생 및 메시지 수신
17:07 컨퍼런스 콜 개설
17:08 이상징후 발생공지
17:17 CISS장비 이상유무 확인(이상없음)
17:20 CISS장비 이사없음 확인되어 SCPD 프로세스 재기동 결정
17:27 SCPD 프로세스 중단(VCS 절체)
  - SHOWMECP01 -> SHOWMECP02 절체
17:30 서비스 점검 및 SCP 연동 정상확인
17:39 이상징후 해소 공지
[후속조치]
17:57 SHOWMECP02 -> SHOWMECP01 원복절체
17:59 서비스 점검 및 SCP 연동 정상확인",AP 운영,운용,환경
INM24020928980,종료,통합FIDO인증플랫폼,IPC Cnode(CA-DMZ-CS-PROD-17-cnode08) 비정상적인 온도 상승으로 인한 긴급 마이그레이션 진행,개선가능,AO부서,,이상징후,2009-02-24 13:04:00,2009-02-24 13:04:00,Infra원인,Infra H/W결함,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
O 조치 후 서비스 정상화 등 결과 포함
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수
외부귀책, KTC Cnode 온도 상승으로 인한 긴급 마이그레이션 작업",Infra,서버,Cloud C/S-Node
INM24020928981,종료,ICIS,배치서버(cdps)에서 ICMP Ping 체크 불가 이벤트 발생,,,,이상징후,2009-02-24 21:17:00,2009-02-24 21:43:00,Infra원인,Infra S/W결함," * 이상징후 조치 내역
- 21:17:00 cdps ICMP PING 체크 불가 이벤트 발생
- 21:21:00 컨콜 개설
- 21:22~21:30 OS 점검 및 이상징후 대응
- 21:30~21:43 특정 과부하 유발 사용자 프로세스 영향도 확인 후 KILL 수행
- 21:43 이상징후 해소 공지 발송

* 후속조치 내역
- 22:06 후속조치 상황창 개설
- 22:06 ~ 00:29 트러블 슈팅 - 총 세 번의 재기동 수행
                          22:23 ~ 22:35 1차 재기동, 파일시스템 이상으로 재기동 재수행
                          22:51 ~ 23:34 2차 재기동, 1차와 동일 문제 발생으로 재기동 재수행
                          00:03 ~ 00:21 3차 재기동, 백업 커널 및 커널 config 파일 백업본으로 OS 기동 정상화
- 00:29 후속 조치 완료",Infra,서버,CPU
INM24021028982,종료,IT인프라_Shared,BD_CORE_ASR1009_INT2-3A0709장비에서 SYSLOG 이벤트 발생,,,,이상징후,2010-02-24 06:37:00,2010-02-24 06:37:00,Infra원인,Infra H/W결함,"- 이상징후 발생 조치 내역
2024년 02월 10일(토)
05:45 분당IDC INT Core 라우터 2호기 RP0 모듈 관련 이벤트 발생
05:48 sDSC NW OP 운영자에 전달 (네트워크인프라팀.협 이상준)
06:00 2호기 RP0 Disable 상태 확인, RP1 Active  (네트워크인프라팀.협 이상준)
06:26 이상징후 발생/해소 문자 발송 요청  (네트워크인프라팀.협 이상준)
06:37 이상징후 발생/해소 문자 발송
[이상징후 발생/해소 공지]
1.서비스명 : SDSC-공통네트워크(분당IDC)
 - 발생시간 : 02/10 06:37
 - 해소시간 : 02/10 06:37
2.영향도 : 이중화 구성으로 서비스 영향 없음
3.현상 : BD_CORE_ASR1009_INT2-3A0709장비에서 SYSLOG 이벤트 발생
4.공지사항 : 운영부서(ktde 네트워크인프라팀) 확인 결과 분당3층 사내망 스텐바이 라우터에 이중화된 RP모듈 중, 한개의 모듈이 다운 되었으나 이중화로 서비스 영향도 없음며, 후속 조치 예정입니다.

06:37 상황 종료",Infra,네트워크,Router
INM24021028983,종료,대외연동인프라,서버 (begiap01)에서 DOSB01_01인스턴스 ThreadCount 임계치 초과 이벤트 발생,,,,이상징후,2010-02-24 15:51:00,2010-02-24 15:51:00,Infra원인,Infra S/W결함,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
15:51 DOSB01_01인스턴스 ThreadCount 임계치 초과 이벤트 발생
16:00 컨퍼런스콜 개설
16:02 서비스 영향도 : 비업무 시간대이며 다중화로 서비스 영향 없음
16:03 조치를 위해 MW 인스턴스 재기동 조치 예정
16:10 문제 발생한 인스턴스만 재기동 조치하였으나 OOM 발생 등으로 01서버 MW 전체 재기동 조치 판단 , MW 전체 인스턴스 재기동 조치 진행
16:18 MW 인스턴스 재기동 조치 진행 중이며 현재 서비스 영향 없음 확인되어 이상징후 해소 후 후속 처리 결정 (장애대응팀 , 경영인프라팀 , BizDX개발팀)
16:23 [완료]이상징후 해소 공지 발송
16:29  대외연동인프라 이상징후 후속 조치 상황창 개설
16:34  begiap01 서버 OOM 해소 위한 MW 전체 DOWN 완료
17:00  begiap01 admin 기동 완료
17:21  begiap01 MW 기동 완료 및 ap 점검 요청
17:25  AP 점검 특이사항 없음
15:26  10분간 서비스 모니터링 진행
17:35  모니터링 결과 특이사항 없음
17:36  대외연동인프라 이상징후 후속조치 상황창 종료
O 조치 후 서비스 정상화 등 결과 포함
MW점검결과 정상, AP서비스 점검결과 정상확인완료
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수",Infra,미들웨어,WAS
INM24021128984,종료,씨큐브,DB서버(pcmsbdb02)에서 LISTENER Process Check_pgtmo 외 다수 DB 관련 이벤트 발생,,,,이상징후,2011-02-24 05:19:00,2011-02-24 05:19:00,Infra원인,Infra S/W결함,"O [02/11 05:19] 씨큐브 서비스 DB서버(pcmsbdb02)에서 LISTENER Process Check_pgtmo 외 다수 DB 관련 이벤트 발생 조치내역 :
- 05:19 DB서버(pcmsbdb02)에서 LISTENER Process Check_pgtmo 외 다수 DB 관련 이벤트 발생
- 05:20 장비 확인 / 컨콜 개설 (SDSCSA 담당자)
- 05:25 서버 접속 및 자동 재기동 확인 (SDSCSA 담당자)
- 05:27 서비스 점검 이상없음 (AO/IO)
- 05:30 이상징후 발생/해소 공지",Infra,미들웨어,DB서버
INM24021128985,종료,로열티,유무선통합결제 서버(BD-L2-LUPINAPP01/02/03/04)에서 로열티 연동오류 이벤트 발생,,,,이상징후,2011-02-24 13:02:00,2011-02-24 13:12:00,환경원인,자연해소,"O [처리 지연 발생] 24/02/11 13:00:00
    [처리 지연 자연 해소] 24/02/11 13:12:00
    [1번 서버 DB 풀백업 수행 중단] 24/02/11 15:14:00
O DB 풀백업 작업에서 영향 받은 가장 큰 부하 작업이 끝나면서 자연 해소
O 1번 서버 DB 풀백업 수행 중단 이후 오류 빈도 및 건수 감소",Infra 운영,운용,환경
INM24021328987,종료,RCS중계,p-rhub-pk1-djwebptagt01 서버에서 BBS 프로세스 다운 이벤트 발생,,,,이상징후,2013-02-24 10:05:00,2013-02-24 10:18:00,인적원인,연관도 파악 미흡,O BBS프로세스 자동 재기동되어 파일읽어서 DB입력부분 정상 확인,AP 개발,설계,내부 설계
INM24021328988,종료,로열티,GTV에서 kt멤버쉽 포인트 조회/결제 간헐적 실패,,,,이상징후,2013-02-24 17:32:00,2013-02-24 18:01:00,환경원인,사용량 과부하,"O [2024/02/13 17:32] 로열티 GW1번 서버에서 GTV 조회 서비스 처리 지연 발생
    [2024/02/13 17:50] 로열티 GW1번 서버에 떠있는 관제 툴 다운
    [2024/02/13 18:00] 로열티 GW1번 다운
O 로열티 GW1번 다운으로 GW2번으로 서비스 정상 처리",Infra 운영,운용,환경
INM24021328989,종료,KOS-공통,B-MON 관제 상 시스템 오류(SecuHistColecService) 이벤트 발생(주기적 health check로 인한 오류),,,,이상징후,2013-02-24 18:10:00,2013-02-24 18:10:00,환경원인,사용량 과부하,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
O 조치 후 서비스 정상화 등 결과 포함
 - 17:55 B-MON상 간헐적 시스템 오류 확인
 - 18:00 서비스 이상없음 및 MW관제 특이사항 없음 확인
 - 18:05 서비스 특이사항 없으나 리소스 클리어 차원 재기동 진행 결정
 - 18:05 상황창 개설
 - 18:10 재기동 진행. health check 오류 미발생 및 서비스 특이사항 없음 확인.
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수",Infra,미들웨어,WAS
INM24021328990,종료,본인확인,LAMP에서 KMC최소건수 이벤트 발생,,,,이상징후,2013-02-24 19:02:00,2013-02-24 19:08:00,환경원인,외부귀책,"O [파악된 현상] 인시던트 조치 내역 :
19:02 ~ 19:02 이벤트 발생
19:02 ~ 19:08 이벤트 해소 및 정상화 (외부기관 장애로 조치내역 없음)",AP 운영,운용,환경
INM24021428992,종료,블록체인기반지역화폐,일부 서버(worker01.prd.eonnuri.co.kr) 에서 롯데카드 연동불가 이벤트 발생,,,,이상징후,2014-02-24 01:07:00,2014-02-24 01:57:00,환경원인,외부귀책,외부귀책으로 롯데카드측에서 처리,AP 운영,운용,환경
INM24021428996,종료,전사기준정보관리,전사기준정보관리 인스턴스(mdm_batch11) 부하로 인한 Swap 사용량 증가,,,,이상징후,2014-02-24 08:56:00,2014-02-24 09:00:00,환경원인,사용량 과부하,"08:56 MDM swap 과점유 관제 확인
09:00 과점유 대상 확인 및 MW재기동 및 서비스 점검
09:00 이상징후 발생/해소 공지
O 조치 후 서비스 정상 특이사항 없음",AP 운영,운용,환경
INM24021428999,종료,5G스마트팩토리,5G스마트팩토리 전용 스토리지(NETAPP_FAS8300) 노드 다운으로 인한 절체 발생,개선불가,AO부서,,이상징후,2014-02-24 10:59:00,2014-02-24 10:59:00,Infra원인,Infra S/W결함,외부 귀책으로 인해 해당 사항 없음,Infra,서버,Storage
INM24021429005,종료,캐치콜,캐치콜이력관리 서버(BD-L3-CCALLDB02)에서 Critical Error 로그 및 스토리지 체크 요망 이벤트 발생,,,,이상징후,2014-02-24 22:08:00,2014-02-24 22:08:00,Infra원인,Infra S/W결함,"O [파악된 현상] 인시던트 조치 내역 :
22:11 캐치콜이력관리 서비스 BD-L3-CCALLDB02 서버에서 Critical Error 로그 및 스토리지 체크 요망 이벤트 발생
22:15 상황 대응 컨퍼런스 콜 개설
22:16 이상징후 발생 공지
22:18 서버 접속하여 확인결과 디스크 마운트 상태 정상, 멀티패스 연결상태 정상 확인, 퀵셀 점검결과 error 메세지 다수 확인
          메시지 로그 확인결과 Buffer I/O error on dev sdz, logical block 0, async page read 로그 다수 (SDSCSA)
22:25 서비스 정상 확인
22:26 이상징후 해소 공지",Infra,서버,기타
INM24021529006,종료,커뮤니케이션이메일,커뮤니케이션이메일(c-mi60-pk1-a07)ICMP Ping 체크  불가 이벤트 발생,,,,이상징후,2015-02-24 01:04:00,2015-02-24 01:19:00,Infra원인,Infra S/W결함,"01:04 c-mi60-pk1-a07 서버?ICMP Ping 체크 불가 이벤트 발생
01:05 컨콜개설
01:06 OS 담당자 서버접속
01:07?OS 점검 정상완료
01:10 AP담당자 서비스 재기동 및?점검
01:19 해소공지 발송",Infra,서버,기타
INM24021529007,종료,MMSG,MMSG 서버(dr-mmsB3 외 4대)에서 mdp 로그파일 미생성 이벤트 발생,,,,이상징후,2015-02-24 02:07:00,2015-02-24 02:07:00,환경원인,외부귀책,02:07:00 서비스 점검결과 이상 없음,AP 운영,점검,환경
INM24021529009,종료,API Link 플랫폼,sq-carrier.apple.com 도메인 IP 변경으로 ValidateEidInfo 연동 오류 발생,,,,이상징후,2015-02-24 10:05:00,2015-02-24 10:14:00,환경원인,외부귀책,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
O 조치 후 서비스 정상화 등 결과 포함
방화벽 작업 후 정상화
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수",AP 운영,운용,환경
INM24021529010,종료,KOS-공통,"외부사(농협은행)측 서버 이슈 관련하여 간헐적 B-MON, LAMP 연동 오류 발생",,,,이상징후,2015-02-24 11:42:00,2015-02-24 11:56:00,환경원인,외부귀책,기관측 조치로 해소완료.,AP 운영,운용,환경
INM24021529014,종료,취약점진단,서버취약점진단 페이지(securecoding.kt.co.kr) URL 접속 지연 현상,,,,이상징후,2015-02-24 13:10:00,2015-02-24 13:14:00,Infra원인,Infra S/W결함,"- 13:47 이슈 재발생 방지 목적으로 devpilot 담당자에게 자동진단 작업 현황 확인 및 중지 요청 (김경호D→김상훈D)
- 14:12 ITO 자동진단 작업 중지 수행 (김경호D)
- 15:16 이후 사이트 접속에 특이사항 없어 모니터링 종료 (김경호D)",Infra,미들웨어,웹서버
INM24021529018,종료,대리점경영지원,고객신청서스캔 AP서버(p-gscan-pk1-a01)에서 Unable to get managed connection 이벤트 발생,,,,이상징후,2015-02-24 15:42:00,2015-02-24 16:00:00,인적원인,연관도 파악 미흡,"[15:45:00] 관제 발생
[15:50:00] 원인이 발생한 DB Session Kill
[15:52:00] 지연 현상 해소
[15:53:00] 전체 서비스 점검 완료 (특이사항 없음)
[16:00:00] 이상징후 종료",AP 운영,운용,운용 오류
INM24021529019,종료,로열티,유무선통합결제 서버(BD-L2-LUPINAPP02)에서 LUPIN_APP포인트조회_IKC_연동오류_모니터링 이벤트 발생,,,,이상징후,2015-02-24 17:02:00,2015-02-24 17:12:00,환경원인,사용량 과부하,"O [2024/02/15 17:12] 로열티 GW01번 DOWN
O GW02로 서비스 정상 처리 확인",Infra,서버 S/W,기타
INM24021529020,종료,침입탐지,CA_IPS1에서 Link1(up/down) 인터페이스 이벤트 발생,,,,이상징후,2015-02-24 17:36:00,2015-02-24 17:47:00,Infra원인,Infra H/W결함,"[17:36] IPS#1 Port Down 발생
[17:44] IPS#1 GBIC 광센서 감소 확인 및 교체 진행
[17:45] 이상징후 발송
[17:49] W-MON 발생내역 없음(IT통합관제센터)
[17:47] IPS GBIC 교체 완료 및 IPS#1 Port up 전환
[17:53] 패밀리박스 등 6종 서비스 접속지연 확인(IT통합관제센터)
[17:55] 6종 서비스 정상화 확인
[18:03] 이상징후 해소공지 발송",Infra,서버,기타
INM24021529021,종료,대리점경영지원,K-Note 판매점 사용자 로그인 불가 및 이미지 뷰어 열람 불가 현상,개선가능,AO부서,,이상징후,2015-02-24 17:52:00,2015-02-24 18:03:00,Infra원인,Infra H/W결함,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
[?2024-?02-?20 오후 2:04] 인창일(보안침해대응팀):
[17:36] IPS#1 Port Down 발생
[17:44] IPS#1 GBIC 광센서 감소 확인 및 교체 진행
[17:45] 이상징후 발송
[17:49] W-MON 발생내역 없음(IT통합관제센터)
[17:47] IPS GBIC 교체 완료 및 IPS#1 Port up 전환
[17:53] 패밀리박스 등 6종 서비스 접속지연 확인(IT통합관제센터)
[17:55] 6종 서비스 정상화 확인
[18:03] 이상징후 해소공지 발송",Infra,서버,NIC
INM24021629022,종료,네트워크설비운영관제,[IPC_NW] 목동1센터 8층 MDAG-K08F-ST-21R01-01 NodeDown 이벤트 발생,,,,이상징후,2016-02-24 06:21:00,2016-02-24 06:21:00,Infra원인,Infra H/W결함,"[02/16]
06:21??MDAG-K08F-ST-21R01-01?장비?NodeDown?외에 다수장비 인터페이스 다운 발생
06:21??담당자 확인?(네트워크인프라팀(협)고영석)
06:23??담당자의 컨콜 요청
06:25??컨퍼런스 콜 개설
06:26??이상징후 발생공지?SMS?발송?(TML31942)
06:27??이중화 된 목동 스위치?1대?Down/Up?발생?(네트워크인프라팀)
06:29??수용서비스?(2종) : SCAP,?플랫폼E2E관제
06:32??서비스?2종 서비스 점검 진행
06:38??플랫폼E2E관제 서비스 점검 결과 정상?(메세징플랫폼)
06:40??스위치 재기동 후 NW 특이사항 없음 확인?(네트워크인프라팀)
06:43??SCAP?서비스 점검 결과 정상?(인증플랫폼팀)
06:44??수용서비스?3종 추가??:?그룹경영,?그룹AD,?그룹IM
06:47??수용서비스?(총5종) : SCAP,?플랫폼E2E관제,?그룹경영,?그룹AD,?그룹IM
06:47??그룹AD,?그룹IM 2종은 디컴 예정으로 서비스 영향 없음 확인?(DWP개발팀)
06:50??그룹경영 점검 결과 정상 확인?(BizDX개발팀)
07:01??[완료]이상징후 해소공지?SMS?발송",Infra,네트워크,Switch
INM24021629028,종료,로열티,GTV에서 kt멤버쉽 포인트 조회/결제 간헐적 지연,,,,이상징후,2016-02-24 17:17:00,2016-02-24 17:22:00,환경원인,사용량 과부하,"O [2024/02/16 17:21] 로열티 GW02 DOWN
O [2024/02/16 17:22] GW01으로만 서비스 정상 처리 확인
O [2024/02/17 04:08] 문제가 되었던 DB가 연동된 GW는 지니TV 서비스 처리 PORT만 DOWN된 상태로 재기동, 지니TV 서비스 처리는 기존 정상 처리되는 GW로 정상 처리 중",Infra,서버 S/W,기타
INM24021629029,종료,블록체인기반지역화폐,외부사(신한카드)측 이슈로 신한카드 결제 불가 발생,,,,4등급,2016-02-24 17:39:00,2016-02-24 18:20:00,환경원인,외부귀책,"3. 장애조치 내용
  ㅇ 조치방법 : 신한카드 세션수 확대하여 조치하였으며 최종 신한카드 재기동 조치하여 정상화 확인

ㅇ 장애 진행 Time-Table
17:39 신한카드 결제 불가 발생 (LAMP 및 운영부서 확인)
17:43 이상징후 발생 공지 발송 (TML31944)
17:43 신한카드 전문 이상 확인 (전문발송 시간과 받은시점 시간 10분정도 차이 확인)
17:45 장애 전환 결정 (플랫폼품질혁신팀)
17:52 신한카드 이슈로 추정되어 확인 중 (DX플랫폼팀)
17:53 [3등급]장애 발생 공지 발송
17:53 신한카드 결제 내역 확인(DX플랫폼팀)
18:02 신한카드에 분석 결과 공유 및 분석 요청 (DX플랫폼팀)
18:09 결제승인 현황 공유(AI/CX 관제운영)
18:16 VOC 현황 공유 온누리고객센터(15건)앱문의(1건) (DX플랫폼팀)
18:20 신한카드 조치 진행 (신한카드)
18:21 컨퍼런스 콜 개설
18:29 신한카드 결제 유입 확인-18:19부터 결제 진행 (DX플랫폼팀)
18:16 VOC 현황 공유 온누리고객센터(15건)앱문의(2건) 최종확인 (DX플랫폼팀)
18:38 KT 네트워크 부분 이상 없음 확인 (Cloud NW운영팀)
18:42 신한카드 사용량 증가 확인 (Cloud NW운영팀)
18:49 신한카드 결제 정상 확인 (금융결제플랫폼개발팀)
18:54 신한카드 이슈 최종 확인(IT/SW 품질혁신팀)
18:57 [완료]장애 종료 공지 발송 완료",AP 운영,운용,환경
INM24021729031,종료,KT AICC 공공지자체,KT AICC 공공지자체 챗봇/보이스봇 서비스 불가,,,,3등급,2017-02-24 01:06:00,2017-02-24 02:05:00,Infra원인,Infra H/W결함,"- KT AIBOT 솔루션의 Redis 클러스터 구조에서 재기동시 Mast Quorum(다수결) 조건이 충족되지 못해 정상 서비스 불가로 수동 클러스터 복구 시행

* 첨부 장애리포트 참조",Infra,서버 S/W,Cloud VM
INM24021729032,종료,MIH망통합관리,서버(JNIPMS)에서 MYSQL 프로세스 체크 이벤트 발생,,,,이상징후,2017-02-24 07:40:00,2017-02-24 07:40:00,Infra원인,Infra S/W결함,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
07:18 JNIPMS MYSQL 프로세스 체크 발생
07:30 IT통합관제센터 개별연락 (박세훈S)
07:36 서버 접속하여 MYSQL 프로세스 중지 확인(김두희K, 박세훈S)
07:38 MYSQL 프로세스 기동 조치 후 이상징후 발생/해소 공지로 의견 전달(김두희K, 박세훈S)
07:38 JNIPMS 서버 MYSQL 프로세스 기동 및 서비스 점검 요청(IT통합관제팀)
07:40 JNIPMS 서버 MYSQL 프로세스 기동 및 서비스 점검 진행(김두희K, 박세훈S)
07:45 이상징후 발생 및 해소 공지 공유(IT통합관제팀)
07:51 이상징후 발생 및 해소공지 SMS 발송",Infra,서버 S/W,기타
INM24021729034,종료,감염병확산방지,감염병확산방지 오염국가 방문자 대상 문자 지연발송,개선가능,VOC접수,,요금사고,2015-02-24 14:00:00,2015-02-24 14:30:00,인적원인,연관도 파악 미흡,"일시                   	작업 내용 / 현상	
'23.10.26 19:00	문자 발송 서버 DB 패스워드 변경 작업	
'24.02.13 15:00	문자발송 서비스 오작동 현상 인지	
'24.02.14~18:00	문자발송 오작동 원인 분석	
'24.02.15 14:00	패스워드 수정 적용 후 기능 정상화	config.properties 파일 내 패스워드 변경 반영
'24.02.15 14:00~15:50	지연된 안내문자 일괄 자동발송(61,639건)	
'24.02.15 16:00	서비스번호(9건) kt 문자 발송 여부 문의
'24.02.15 18:59	""질병청 안내문자 지연 건 발송상황 문의, 질병청 월별 문자 발송한 건수 요청""	
'24.02.15 19:51	월별 문자발송건수 질병청 담당자에게 문자 메세지로 전달함	
'24.02.16 11:12~11:20	""질병청 안내문자 지연발송에 대한 추가 안내 문자 발송여부 문의(연합뉴스 기자의 기사화 가능성 제시)""	* 외부언론 노출 가능성 예상되어 긴급 kt 상황전파 준비
'24.02.16 11:20~14:00	kt 상황전파를 위한 내부 현황 상세 파악	
'24.02.16~14:27	kt 이슈메일 전달, kt/ktds 관련자 긴급 회의 요청(팀즈)(kt IT PM팀, 품질혁신팀, 리스크관리팀, PO부서, ktds 운영팀, 장애대응팀, 품질관리팀 등)
'24.02.16 14:27~	kt 이슈 공유, 공동대응 상황 유지(팀즈)	
'24.02.16 16:00	질병청 향후 재발방지 방안 전달 요청	
'24.02.16~16:46	향후 재발방지 대책 질병청 전달(별첨3)	Kt IT PM부서, 품질혁신팀, 리스크관리팀, PO부서, ktds 운영부서, 장애대응팀, 품질관리팀
'24.02.16 19:30	질병관리청 홈페이지 > 보도자료 메뉴에 등록 확인	
'24.02.17 09:00	""익일 최종 기사화 여부 확인(11건 노출)",AP 운영,운용,운용 오류
INM24021829038,종료,씨큐브,씨큐브 서버(pcmsbdb02)에서 Process Check_pgtmo 이벤트 외 다수 DB관련 이벤트 발생,,,,이상징후,2018-02-24 17:24:00,2018-02-24 17:24:00,Infra원인,Infra S/W결함,"O [02/18 17:24] 씨큐브 서버(pcmsbdb02)에서 Process Check_pgtmo 이벤트 외 다수 DB관련 이벤트 발생 조치내역 :
- 17:24 pcmsbdb02 에서 Process Check_pgtmo 이벤트 외 다수 DB관련 이벤트 발생
- 17:26 장비 확인 / 컨콜 개설 (SDSCSA 담당자)
- 17:30 이상징후 발생 공지
- 17:31 서버 접속 및 자동 재기동 확인 (SDSCSA 담당자)
- 17:32 서비스 점검 이상없음 (AO/IO)
- 17:37 이상징후 발생/해소 공지",Infra,미들웨어,DB서버
